	logFC	logCPM	PValue	FDR
Pctp	1.041644922	1.579324685	0.000207078	0.03190046
Il2ra	-0.753253558	4.134389928	0.000209604	0.03190046
Zfp759	-0.637191352	2.212484838	0.000238126	0.035708371
Jkamp	0.470793118	4.349723239	0.000245232	0.036241079
Gm4759	-0.625658269	5.480504325	0.000253428	0.036917225
Gfpt1	-0.416802955	6.568086429	0.000270122	0.03879481
Sgms1	0.467891081	5.122762579	0.000330163	0.046759324
Lgals7	0.739344128	1.830534896	0.000377175	0.052685713
Rpph1	-1.013214414	1.181542117	0.000398042	0.054849054
Tmem65	-0.42266307	4.687379732	0.000420521	0.057174073
Atp13a2	0.503250245	5.465356547	0.000429668	0.057188502
Eid2	0.942512356	0.450108578	0.000431844	0.057188502
Gzma	-0.769574419	1.272472182	0.000470768	0.061543803
Bmp7	1.192987528	1.147601308	0.000500106	0.064551675
Lrba	-0.352421993	7.137649636	0.000545764	0.069564487
Fnip2	-0.813405499	1.04247259	0.000633459	0.079636736
Galnt3	-0.905301544	1.382449328	0.000640405	0.079636736
Ly6c1	-0.719294508	3.616839099	0.000666771	0.081916372
Galnt9	0.725430541	2.686550491	0.000715535	0.086860879
Tesc	0.521328117	4.318676596	0.000726532	0.087158186
Zbtb8a	-1.352154126	1.920063531	0.000761118	0.089886614
Gm15417	0.832150739	0.514688191	0.000766906	0.089886614
Cpm	-0.750020419	5.022871609	0.000855393	0.099118703
Plekhg5	0.59988832	2.313300945	0.000904758	0.103660916
Xlr4c	0.502533442	4.137409631	0.000946186	0.107202923
Fam3c	-0.393533753	5.759487934	0.000985014	0.110375675
Cdk6	-0.370148663	5.802245079	0.001015114	0.112512153
Serpini1	-0.491575947	4.126900277	0.001027824	0.112695945
Krt10	0.853562445	0.277269231	0.001049903	0.113892183
Acbd4	0.453035091	4.122818561	0.001088219	0.116806017
Heatr5a	0.439794597	4.628691619	0.001124307	0.119422463
Skil	-0.455410706	5.424327039	0.001168264	0.122812209
Cerkl	-0.572111687	2.127057721	0.001187905	0.122980218
Amica1	-0.578900831	5.026951667	0.001201641	0.122980218
Csf1	0.877801883	0.662612769	0.001206043	0.122980218
Tsc22d1	0.579162965	2.962223372	0.001249224	0.126122149
Id2	0.494022366	6.251980342	0.001454937	0.14348418
Pmaip1	-0.624868009	4.207246655	0.001460097	0.14348418
Slc16a10	-0.538899108	3.814215851	0.001463406	0.14348418
Creb3l2	-0.479444758	3.245211065	0.001652386	0.159473944
Fgf13	0.400451618	4.778824373	0.001657766	0.159473944
Ckb	0.588417868	4.880960558	0.001728095	0.164478998
Znrf3	-0.534479609	2.188699299	0.001755472	0.164478998
Wdhd1	-0.435328642	5.837697124	0.001758185	0.164478998
Cd9	0.343910399	6.026306569	0.00178027	0.165031013
Itga7	0.602877838	4.259146549	0.00181287	0.165616601
Cbl	-0.341392678	7.259801759	0.00181907	0.165616601
Efcab11	-0.827072183	0.72391227	0.001849441	0.166891635
Cx3cr1	-0.809638261	0.656676427	0.001868641	0.167145034
Dbi	0.400232951	5.567465315	0.001910801	0.169429881
Sos1	-0.33998721	6.035465739	0.001977368	0.173727611
Rad54b	-0.612121062	3.78849889	0.002012934	0.173727611
Chn2	-0.504388075	3.178373569	0.002016245	0.173727611
Gprc5b	0.931258372	0.993722199	0.002027418	0.173727611
Smpdl3b	0.832253724	0.579352738	0.002080907	0.174992755
Synj2	0.602977803	5.03518364	0.002091016	0.174992755
Slfn9	0.759872228	5.107860164	0.002093666	0.174992755
Vps13d	-0.335069726	6.834365318	0.00211855	0.175632948
Brca1	-0.478046794	5.386548076	0.002187467	0.17988392
Spry1	0.486392515	3.549848608	0.002214791	0.180673816
Pcyt1b	-0.843141798	0.519925992	0.002348206	0.190036942
Xrn1	-0.38360174	6.594026672	0.002419776	0.193319284
Chek1	-0.61438431	4.618508573	0.002426681	0.193319284
Atm	-0.385082078	7.115084382	0.002496288	0.196482348
Rps15a	0.310681678	9.642794388	0.002504924	0.196482348
Akr1b8	0.528615613	2.856591301	0.002552285	0.198669063
G2e3	-0.558002098	5.123909598	0.002687648	0.207182753
Zgrf1	-0.483140262	4.297345794	0.002702295	0.207182753
Klhl7	-0.546599018	2.220141022	0.002734539	0.208090227
Adi1	0.381711028	5.007109765	0.002756286	0.208191505
Pbx3	0.720686112	0.932174581	0.002779391	0.208392981
Impact	-0.404302654	4.55924952	0.002870373	0.213643714
H6pd	0.402341234	4.617837163	0.002899024	0.214147973
Kntc1	-0.465624232	5.450199476	0.00291915	0.214147973
Crat	0.715218173	2.493762483	0.002998163	0.217419566
Cacna1d	0.776047286	0.963252692	0.00300639	0.217419566
Dtl	-0.455736417	5.483985175	0.003081512	0.221282965
Myo1e	-0.465463228	3.350930879	0.003133143	0.223417168
Med13	-0.383647555	8.104696095	0.003209022	0.227238867
Gdap10	-0.560319337	2.467935484	0.00325619	0.228894519
Pole	-0.398254453	5.887656629	0.003277297	0.228894519
Rnf144a	-0.340872539	4.974741281	0.003448389	0.237969846
Alms1	-0.45677726	4.371275629	0.003453912	0.237969846
Slc35e2	-0.329122039	5.34060265	0.003513961	0.240482268
Myo10	0.564122191	2.116055958	0.003539271	0.240599615
N4bp2	-0.383108279	5.33133489	0.00363568	0.244856519
Ten1	0.432459632	4.602746219	0.003649916	0.244856519
Neb	-0.461751752	4.503611586	0.003704407	0.246887847
Rab39b	-0.673926957	0.764066232	0.00378508	0.250388924
Mbnl3	-0.398781897	5.721399601	0.003806216	0.250388924
Nup155	-0.370452546	5.631479545	0.003830604	0.250388924
Zmym6	-0.394278789	4.48963956	0.003898212	0.253185124
Cenph	-0.521283288	3.894826006	0.003946164	0.254677444
Cbx5	-0.488618238	7.774301555	0.004019069	0.257751214
Ndrg2	0.45932419	3.449739365	0.004052885	0.258222184
Cd55	-0.377890339	5.366140468	0.00408966	0.258222184
1700012B07Rik	0.706703856	2.305439942	0.004102382	0.258222184
Zbed6	-0.421934355	6.098201175	0.004151204	0.259692206
Mpst	0.408325096	5.436619689	0.00432474	0.268898618
Tprgl	0.329554384	6.817246324	0.004393578	0.27152309
Clcn6	0.428540568	3.716996416	0.004452676	0.273517688
Ifit3	0.304337247	7.897911326	0.004526948	0.276414889
Mb21d1	-0.493504211	2.814238008	0.004574815	0.277674908
Uhrf2	-0.307709248	6.792822032	0.004668028	0.280884665
Rab6b	-2.175276835	2.148134514	0.004682788	0.280884665
Fignl1	-0.501161824	5.821090481	0.004751069	0.282767939
Myl12a	0.362422414	8.77386888	0.004769647	0.282767939
Adh1	0.828594783	0.051896943	0.004811399	0.283594412
Apobec2	0.578268897	3.299540028	0.004915718	0.287049466
Hpse	-0.748412189	0.375986836	0.004926317	0.287049466
Ino80d	-0.32747486	7.097408056	0.005033081	0.29066168
Pde2a	0.33261233	6.731958542	0.005045319	0.29066168
Fcho2	-0.357434052	5.506311285	0.005277333	0.302320041
Kif11	-0.504154157	6.813479708	0.0053488	0.303482629
Tfrc	-0.533639844	6.408035445	0.005357151	0.303482629
Mir8091	-0.829804994	-0.12929819	0.005506552	0.30936593
Lta4h	-0.282689554	6.551676863	0.005521683	0.30936593
Ptpn18	0.421659057	6.219724335	0.005629696	0.312777609
Ccr5	-0.424855428	7.024263685	0.005644085	0.312777609
Rpl21	0.339834584	10.25343563	0.005674596	0.312777609
Spock2	0.529521495	3.088388406	0.005816333	0.317575489
Ccdc127	-0.339815254	5.417380054	0.00582393	0.317575489
Ammecr1	-0.361381247	4.484964423	0.005881711	0.319020265
1600002K03Rik	0.438435494	3.689262032	0.006055879	0.325859152
Cpeb2	-0.43710987	3.956971067	0.006071711	0.325859152
Slc5a3	-0.354441586	6.395993384	0.006130098	0.326469605
Fam120c	-0.393791299	4.111042835	0.006158485	0.326469605
Mgat4a	-0.494105944	2.690306595	0.006179134	0.326469605
Clspn	-0.461117452	6.327045013	0.006212589	0.326545231
Crocc	-0.706012797	3.471157388	0.00629374	0.32911418
Akap2	-0.565579212	1.954416246	0.006359896	0.329132581
Mybl1	-0.700761559	1.955438092	0.006419819	0.329132581
Vdr	0.797031881	1.641713297	0.006421651	0.329132581
Rapgef5	0.765435678	0.783779369	0.00643339	0.329132581
Cysltr2	-0.456144209	2.835081534	0.006455479	0.329132581
Cd83	-0.47724099	1.938168038	0.006608723	0.332780353
Tulp4	-0.299702191	6.485118156	0.006618132	0.332780353
Naca	0.348139149	9.711592081	0.00662493	0.332780353
Brca2	-0.463624831	4.293749465	0.006709641	0.335383394
Camta1	0.484356457	2.562640456	0.006761817	0.336342693
Dnajb14	-0.615220064	1.052094774	0.006856053	0.338527493
Ifi27	-0.308513618	5.238246666	0.00693739	0.338527493
Pltp	0.466448742	3.33827572	0.006949829	0.338527493
Foxj1	0.773086312	-0.074707064	0.00696037	0.338527493
Car13	-0.76655579	0.829313824	0.007008652	0.338527493
Ccrl2	-0.554183752	2.225904062	0.007118436	0.338527493
Mms22l	-0.348240434	5.231310946	0.00712894	0.338527493
Rps13	0.424569568	9.69639207	0.007216575	0.338527493
Fau	0.399201004	9.599714398	0.007268707	0.338527493
Zfp871	-0.388946179	7.285592384	0.007336225	0.338527493
Ogfod2	0.378813381	4.07546576	0.007397362	0.338527493
Rps20	0.472784657	9.270577533	0.0074009	0.338527493
Foxd2os	-0.5063969	2.693042439	0.007419799	0.338527493
Fra10ac1	-0.372444011	4.056212678	0.00742088	0.338527493
Zfp26	-0.402369774	5.911642634	0.007472148	0.338527493
Ndrg1	0.377255736	3.520128948	0.007475569	0.338527493
1700113A16Rik	0.612137689	1.355955165	0.007531007	0.338527493
Bbc3	0.71592302	2.985445904	0.007551271	0.338527493
Atad5	-0.506548598	5.375721704	0.007552316	0.338527493
Cxcr4	0.316990132	5.181761548	0.007590962	0.338527493
Clec2d	0.278103037	8.653384737	0.007615641	0.338527493
Klf11	-0.504651613	2.590425946	0.007647317	0.338527493
Igip	-0.52023711	2.597289993	0.007665517	0.338527493
Rps27a	0.308979866	9.533074384	0.007670606	0.338527493
Rpl27a	0.43320568	10.04460229	0.007671842	0.338527493
Tpt1	0.285797402	11.71478361	0.00769722	0.338527493
Comtd1	0.616521275	2.895263116	0.007702106	0.338527493
Ncapg2	-0.529162122	6.571963048	0.007776214	0.340317843
Ppan	0.386834015	4.918383595	0.007899779	0.344248057
Rplp2	0.424365281	9.393340862	0.007935449	0.34433097
Rpl12	0.412780936	10.23759109	0.007977023	0.344651395
Nbeal1	-0.458072133	3.867127967	0.008010433	0.344651395
Coro2a	-0.498192592	3.291709971	0.008243651	0.348301909
Bcl2l11	-0.326173797	6.10816287	0.008294363	0.348301909
Rc3h1	-0.308732161	7.246984521	0.008320155	0.348301909
Slc25a40	-0.395750907	4.332818972	0.008371961	0.348301909
Cdc42ep4	0.563041962	1.762090512	0.008391389	0.348301909
Pik3c2a	-0.329558597	5.864260568	0.008404767	0.348301909
5830444B04Rik	-1.726454606	1.107445391	0.008405694	0.348301909
Gpd2	-0.332678576	5.277806722	0.00844517	0.348301909
Klrd1	-0.888151461	0.120357042	0.008457481	0.348301909
Ccdc28b	-0.760984118	5.449122022	0.008463585	0.348301909
Vmn2r96	0.737440559	1.93901038	0.008517084	0.348301909
Phyhd1	0.41982311	3.159032487	0.008523802	0.348301909
Efcab7	-0.53428825	1.442179367	0.008539323	0.348301909
Icam2	0.378784827	6.00801437	0.008651604	0.349407594
Ntng2	-0.585868199	1.446081498	0.008656703	0.349407594
Rpl13	0.372797801	9.97005451	0.008703138	0.349407594
Arhgef12	-0.317763926	4.603813164	0.00870708	0.349407594
Ranbp2	-0.398651794	8.432175741	0.00873776	0.349407594
Rpl23a	0.303675004	10.00024325	0.008850794	0.352545116
Hjurp	-0.301670169	5.723782337	0.008998018	0.355768439
Pde4a	0.609132476	1.300955664	0.009001496	0.355768439
Hsp90b1	-0.47380344	9.559261001	0.00910714	0.356580705
Myl12b	0.373992397	8.886000255	0.009164545	0.356580705
Haus6	-0.477014308	5.106285542	0.009187902	0.356580705
Unc5cl	0.572045912	1.751724921	0.009191081	0.356580705
Rpl35	0.282539401	9.239299421	0.009328506	0.356580705
Serp2	0.749659925	1.78401094	0.009356579	0.356580705
Pim2	0.329687387	5.789268449	0.009378326	0.356580705
Atp13a3	-0.404070219	7.45129724	0.00939876	0.356580705
Zfp524	0.504754241	4.183217047	0.009399293	0.356580705
Usp9x	-0.352484482	7.687671661	0.009418854	0.356580705
Gjb2	0.68533469	0.587467912	0.009428478	0.356580705
Clybl	-0.581896523	1.58552463	0.009441678	0.356580705
Klhdc1	0.337193471	4.312160518	0.009542635	0.357654188
Rpl38	0.422257878	8.173430961	0.009629627	0.357654188
Myeov2	0.281673255	5.660948935	0.009629701	0.357654188
Dync1li2	-0.318019246	6.919948619	0.009637369	0.357654188
Sec24a	-0.274773286	5.595342265	0.009645474	0.357654188
Cenpn	-0.453007684	3.403622119	0.009737725	0.358869271
Slfn8	-0.369799294	7.917946406	0.009748631	0.358869271
S100a10	0.271199487	9.422132063	0.009873459	0.362155986
AA465934	1.128599145	1.944221562	0.009908946	0.362155986
6530402F18Rik	-0.333560651	5.029763053	0.010006314	0.363625203
Bmp2k	-0.277257556	5.934833431	0.010076717	0.363625203
Acp5	0.348714632	6.599404212	0.010116717	0.363625203
Hist2h2bb	-0.677459886	0.197413321	0.010169101	0.363625203
Ahr	-0.471722488	3.698745041	0.010174586	0.363625203
Vipr1	0.420656158	3.685675983	0.010259012	0.363625203
Arhgap11a	-0.409739331	6.611883691	0.010299588	0.363625203
Cdc6	-0.4168363	5.62677677	0.010338807	0.363625203
Mir17hg	-0.584919669	2.127388558	0.010339638	0.363625203
Rps25	0.312713644	8.985367539	0.010360867	0.363625203
Homer1	-0.391809686	3.577155649	0.010362024	0.363625203
Klhl4	-0.847813569	1.109944167	0.010456113	0.363625203
A830010M20Rik	-0.446576517	2.505790138	0.010470195	0.363625203
Tmem256	0.368751859	4.572181085	0.010473838	0.363625203
Rps5	0.317106207	9.49646391	0.010484526	0.363625203
Slc35g1	-0.306157392	4.533808421	0.010519705	0.363625203
Rps18	0.337524405	10.00553717	0.010640292	0.365769589
Errfi1	0.467164811	3.607454521	0.010653483	0.365769589
Ccp110	-0.389120575	5.122947008	0.010770913	0.367615783
Rpl24	0.323833801	9.421147071	0.010792222	0.367615783
Sox4	0.401399074	3.030248825	0.010875926	0.367615783
Zmym1	-0.34843068	4.555725924	0.010883543	0.367615783
Rgs1	-0.394196419	5.344207626	0.01088891	0.367615783
Xrcc6bp1	0.440068042	2.398219766	0.010958907	0.367615783
Fxyd5	0.336299014	8.939919514	0.010978376	0.367615783
Prrc2c	-0.260868356	9.472915374	0.010995667	0.367615783
Lmbrd2	-0.423313954	3.866459684	0.011060275	0.36804529
Gstp1	0.321345671	6.098078321	0.011101861	0.36804529
Gsr	-0.295244047	5.642514128	0.011116794	0.36804529
2310001H17Rik	0.285035744	6.025885488	0.011182229	0.368266129
Gpr83	0.625284505	1.731393006	0.011195695	0.368266129
Ago3	-0.353439726	4.585276963	0.011374708	0.369586008
Gm15760	-0.789114777	0.009198178	0.011383655	0.369586008
Prim1	-0.374724652	5.680646515	0.011391749	0.369586008
Prkcz	0.515221996	2.553917527	0.011412962	0.369586008
Rbl1	-0.318422853	6.634842499	0.011417044	0.369586008
Pex10	0.419458162	2.688958894	0.011558342	0.3700138
Rps12	0.395771036	9.939436746	0.011561569	0.3700138
Manf	-0.360801301	7.181884968	0.011576267	0.3700138
Cd247	0.25931375	9.097904881	0.011628196	0.3700138
Gm8979	-0.637699342	1.095362905	0.011686713	0.3700138
Topbp1	-0.320938076	7.499349922	0.011697344	0.3700138
Aprt	0.404816828	5.388875124	0.011748854	0.3700138
Pdia6	-0.364985268	7.688679349	0.011760154	0.3700138
Timeless	-0.347775819	6.04966368	0.011789132	0.3700138
Vamp3	-0.348923869	5.591335121	0.011793124	0.3700138
Cdc37	0.290971305	7.858857323	0.011936255	0.373355795
Acsf3	0.405554933	3.857989518	0.012068078	0.376324744
Trmt112	0.340544591	6.380751153	0.012143213	0.377513243
Wdr76	-0.413684285	5.682339883	0.012268891	0.379144101
Rps19	0.289362663	9.350657967	0.012270036	0.379144101
Ankrd26	-0.360637595	4.123180728	0.012330322	0.379855878
Orc1	-0.460317903	3.348954446	0.012395517	0.380714106
Rpl36	0.473654432	8.440776753	0.01261393	0.386258992
Stil	-0.440992319	4.712888619	0.012681691	0.386702175
Slc43a1	0.57699177	3.962969577	0.012709463	0.386702175
Hectd1	-0.272484295	8.427376872	0.012742172	0.386702175
Raph1	-0.327356136	4.994688303	0.012848131	0.388760799
Rps24	0.277038041	10.09488565	0.012940376	0.389327758
Rpl39	0.290773611	8.622836068	0.012946867	0.389327758
Vps13a	-0.298602078	7.071817686	0.01298141	0.389327758
Hipk3	-0.292849257	6.815198296	0.013105866	0.391202741
Rev3l	-0.289217972	6.520067362	0.013120657	0.391202741
Rpl37a	0.272611735	9.039968166	0.013286851	0.394465084
Rps10	0.391889061	9.79768365	0.013307442	0.394465084
Srgap2	-0.255510541	6.196103861	0.013356851	0.394621811
Ipo9	-0.285552943	6.490047738	0.013390129	0.394621811
Palb2	-0.395873773	3.328902763	0.013501949	0.39481103
Myo5a	-0.367436382	4.890608374	0.013589162	0.39481103
Lig1	-0.334533993	7.172001684	0.013596616	0.39481103
Gsn	0.265224384	6.334104412	0.013604059	0.39481103
Prr7	0.650574178	3.05702939	0.013703747	0.39481103
Rplp0	0.341995842	11.40151853	0.013793277	0.39481103
Dnajb13	0.623779831	1.39934678	0.013823033	0.39481103
Hcst	0.327991096	5.493099265	0.013828445	0.39481103
Tmem234	0.279081607	6.985109904	0.013849781	0.39481103
Asxl2	-0.272640564	6.730100573	0.013872491	0.39481103
Josd2	0.40154644	4.524041752	0.013876424	0.39481103
Mpeg1	-0.754756501	2.559366761	0.013899298	0.39481103
Nktr	-0.281157408	7.542885266	0.013970336	0.39481103
Hook1	-0.387840431	5.229292879	0.013978683	0.39481103
2810428I15Rik	0.363561175	4.813373367	0.013989221	0.39481103
Grcc10	0.286449143	6.594514246	0.014030568	0.39481103
Als2cl	0.304480201	7.405711904	0.014054762	0.39481103
Pcnt	-0.266366325	6.833292905	0.014253509	0.399294046
Rpp25l	0.40878889	4.55665427	0.014385098	0.401876275
Marf1	-0.288178441	7.827216606	0.014473471	0.403240383
Angptl2	0.360227516	8.348710132	0.014633949	0.406600489
Ero1lb	-0.363019577	4.27700922	0.01473759	0.408077175
Nup160	-0.308711778	5.681000306	0.014767135	0.408077175
Bbx	-0.264975571	6.093747622	0.014877054	0.409008002
Pou2f2	0.295974995	6.632888258	0.01488104	0.409008002
Tmem245	-0.312552677	5.159452401	0.014942005	0.409579642
Lrrc58	-0.30739661	6.372497551	0.015128371	0.411145194
Ndufa11	0.373879792	5.138022566	0.015148342	0.411145194
Ttc39c	-0.306673203	4.438625909	0.015190998	0.411145194
Lsr	0.401099245	2.276372238	0.015211635	0.411145194
Atp5s	-0.526766611	1.183053686	0.015264156	0.411145194
Rpl36al	0.291993585	7.720534798	0.015304571	0.411145194
Hells	-0.57000683	6.350936158	0.015312281	0.411145194
Clhc1	-1.096535114	2.667798007	0.01532168	0.411145194
Ms4a6c	-0.31479456	3.915244117	0.015397975	0.412108004
Skap1	0.257858444	7.827855524	0.015469377	0.412935174
Grtp1	0.655150138	1.089734877	0.015680143	0.415767192
Mdc1	-0.264448993	6.055269491	0.015691614	0.415767192
1700027F09Rik	0.65829019	0.111795175	0.015756164	0.415767192
Fancm	-0.35968103	4.892392138	0.015782056	0.415767192
Rad54l	-0.432426287	4.65210411	0.015808604	0.415767192
Bard1	-0.400026291	5.252233477	0.015820111	0.415767192
Pdia4	-0.302113028	7.510385984	0.015888767	0.416007872
Ddx28	0.282990738	5.736548549	0.015910863	0.416007872
Myo1h	-0.49382249	1.310646347	0.015958196	0.416178324
Dync2h1	-0.334110352	3.60799321	0.016058988	0.417389979
Cnot6	-0.358148014	8.066615974	0.016113725	0.417389979
Anapc16	0.271033864	5.923719737	0.016127454	0.417389979
Gdpd5	0.489851079	2.442106425	0.016181654	0.417732472
Gm996	0.567232562	0.73036449	0.016249067	0.418413484
Ppm1h	-0.263104195	6.563463252	0.016300979	0.418463549
Tnfsf14	0.321107204	4.551539125	0.016366361	0.418463549
Zwilch	-0.414375502	4.499830386	0.016387623	0.418463549
Suco	-0.347018254	5.821502247	0.016495706	0.418463549
Polq	-0.431922649	4.7625126	0.01650028	0.418463549
Itga3	0.527986425	1.459590637	0.016501997	0.418463549
Hsf4	0.510359119	1.396748547	0.016538277	0.418463549
Pou2f1	-0.356522571	5.583609981	0.016670623	0.420768176
Smox	0.382559907	4.528824919	0.016856453	0.424127087
Rif1	-0.363963106	7.048546769	0.016936648	0.424127087
Tmie	0.475271228	2.535602835	0.01700922	0.424127087
Rtkn2	-0.767001792	0.227242342	0.017034397	0.424127087
Pdss1	-0.417500137	2.562126117	0.017077749	0.424127087
Map9	-0.647758136	0.325099111	0.017115843	0.424127087
Atad2	-0.378236056	7.215849115	0.017136123	0.424127087
Fam122b	-0.346241217	4.136286215	0.017170152	0.424127087
Ier2	0.267459959	6.752263952	0.017178041	0.424127087
Lag3	0.262850771	8.820005789	0.017313958	0.424773648
Arl6ip6	-0.329175466	5.124573803	0.017324741	0.424773648
Nfat5	-0.295277084	6.715926998	0.017329199	0.424773648
Rps26	0.269121902	9.404326276	0.017428482	0.426182797
Fanci	-0.405386392	4.500101891	0.017471527	0.426213295
Cenpe	-0.390246614	7.147652762	0.017527937	0.426466524
Gsg2	-0.361574762	4.51632761	0.017565553	0.426466524
Arhgap29	0.676038657	1.195590035	0.017732904	0.428306344
Fam81a	0.822821141	0.37932242	0.017734548	0.428306344
Chd3os	-0.448833869	1.600236406	0.017820042	0.428306344
Tmem170b	-0.326607256	4.883893444	0.017831635	0.428306344
Whsc1	-0.300169292	7.691355134	0.017885437	0.428306344
Rfc4	-0.382638949	4.84121209	0.017928545	0.428306344
Ercc6l	-0.407464934	4.215787702	0.017951023	0.428306344
Prdm1	-0.42726802	4.996562346	0.017977358	0.428306344
Wee1	-0.376471929	4.348108515	0.018033284	0.428637298
Nsl1	-0.470466131	3.932209215	0.018120417	0.429706721
2210011C24Rik	0.645157559	0.197072593	0.018317276	0.431981999
Atl3	-0.311469021	7.53539149	0.018342564	0.431981999
Fhl3	0.334964472	4.643383713	0.018343454	0.431981999
Cebpa	0.714681962	2.395131938	0.018493888	0.434521153
Rad18	-0.327366319	4.21484504	0.018604619	0.435739491
Ctse	-0.444802877	9.209025936	0.018631207	0.435739491
Pola1	-0.450278921	5.943359416	0.018694977	0.436230381
Eif3f	0.260312461	8.488721334	0.018865517	0.438468001
Rttn	-0.382387349	3.83300801	0.018888772	0.438468001
Tnip3	-0.546498182	1.717798581	0.018919871	0.438468001
Mrps36	0.309387868	4.495315515	0.019044675	0.439430758
Pnldc1	0.702851195	0.297906513	0.019054813	0.439430758
Klk8	0.337471408	4.189557847	0.019090696	0.439430758
Vwa5a	-0.310169137	4.900539865	0.01925391	0.442189449
Dnajc4	0.336000891	3.554161514	0.019313352	0.442557864
Herc3	-0.262832161	5.960764805	0.019381426	0.44312198
Pgls	0.501573388	4.692654728	0.019491132	0.443241293
Bend4	-0.366395098	4.322969788	0.019496046	0.443241293
Ccr9	-0.435962184	5.900339378	0.019605753	0.443241293
S100a11	0.386234586	8.509631728	0.019609857	0.443241293
Ar	-0.521848489	1.256594273	0.019615884	0.443241293
Egln3	0.437976779	4.144427167	0.019647452	0.443241293
Phc2	0.286963372	6.727573307	0.019713549	0.443750692
2700099C18Rik	-0.415589263	2.847275681	0.019956188	0.447239127
Akap11	-0.351581836	6.002108297	0.019988689	0.447239127
